MATERIAL, HARGA,KETERANGAN
semen,60000,per sak
pasir,2500000,per truk dump
genteng,4000,per pcs
besi beton,150000,per biji (panjang 12meter)
batu split,1500000,per truk dump
besi beton bentuk H,6000000,per biji (panjang 12meter)
keramik 50x50,80000,per dus (isi 4)
Cat Tembok,140000,5kg
Keramik KM 20x20,50000,per dus (isi 25)
Lantai KM,56000,
Lantai KM 25x25,56000,per dus(isi 16)
semen warna (nat),13500,1kg
Pasir Bangunan,242000,per meter kubik
batu bata,750,per pcs
